SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,"T1005, T1025, T1041, T1048.003, T1557.004"
esx-9.etc-issue,ESX,Configure the login banner for ESX host SSH connections.,P1,SEA-18,T1199
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,"CRY-01, SEA-10","T1003.001, T1005, T1025, T1041, T1047, T1048.003, T1055.009, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.011, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1505.004, T1543, T1543.002, T1547.004, T1547.006, T1548, T1548.004, T1557.004, T1565, T1565.001, T1565.003, T1611"
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,"CRY-01, SEA-10","T1003.001, T1005, T1025, T1041, T1047, T1048.003, T1055.009, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.011, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1505.004, T1543, T1543.002, T1547.004, T1547.006, T1548, T1548.004, T1557.004, T1565, T1565.001, T1565.003, T1611"
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,"T1003, T1003.001, T1027, T1027.002, T1027.007, T1027.008, T1027.009, T1047, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1059, T1059.001, T1059.005, T1059.006, T1068, T1072, T1106, T1137, T1137.003, T1137.004, T1137.005, T1189, T1190, T1195, T1195.001, T1195.002, T1195.003, T1203, T1204, T1204.001, T1204.003, T1210, T1211, T1212, T1213.003, T1213.005, T1221, T1495, T1525, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1546, T1546.006, T1546.010, T1546.011, T1546.016, T1547.006, T1548, T1548.002, T1548.006, T1550.002, T1552, T1552.006, T1553, T1553.006, T1555, T1555.005, T1559, T1559.002, T1566, T1566.001, T1566.003, T1574, T1574.002, T1574.013, T1601, T1601.001, T1601.002, T1606, T1606.001, T1611"
esx-9.hardware-management-config-lock,ESX,Lock the hardware management controller configuration after provisioning.,P1,CHG-04,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.008, T1047, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.008, T1056.003, T1059, T1059.001, T1059.006, T1059.008, T1072, T1078, T1078.002, T1078.003, T1078.004, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.007, T1134, T1134.001, T1134.002, T1134.003, T1136, T1136.001, T1136.002, T1136.003, T1137.002, T1176, T1185, T1190, T1195, T1195.001, T1195.003, T1197, T1210, T1213, T1213.001, T1213.002, T1213.005, T1218, T1218.007, T1218.015, T1222, T1222.001, T1222.002, T1484, T1489, T1495, T1505, T1505.002, T1525, T1528, T1530, T1537, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1546.003, T1546.016, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.002, T1548.003, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.002, T1552.007, T1553, T1553.006, T1554, T1556, T1556.001, T1556.003, T1556.004, T1556.008, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1559, T1559.001, T1559.003, T1562, T1562.001, T1562.002, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.011, T1562.012, T1563, T1563.001, T1563.002, T1564.008, T1569, T1569.001, T1569.002, T1574, T1574.005, T1574.010, T1574.011, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1611, T1619, T1621, T1647"
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
