SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
installer-9.security,Installer,"The VCF Installer appliance must be removed or powered off after deployment completes, unless it has been converted into the SDDC Manager.",P0,AST-30,GOVERN 1.7
vcenter-9.administration-client-plugins,vCenter,Reduce or eliminate third-party vCenter plugins.,P1,TPM-04,GV-6.2-002
vcf-9.secure-baseline,VCF,"Apply the controls in this guidance, and document the rationale for any deviations.",P1,CFG-02,MS-2.3-001
