Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
03.01.08.b,Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt; notify system administrator; take other action] when the maximum number of unsuccessful attempts is exceeded.,"CFG-02, IAC-22","esx-9.account-lockout-duration, esx-9.account-lockout-max-attempts, fleet-9.password-policy, nsx-9.account-lockout-max-attempts, operations-9.account-lockout, vcenter-9.account-lockout-duration, vcenter-9.account-lockout-max-attempts, vcenter-9.account-lockout-reset, vcf-9.secure-baseline"
03.01.09,System Use Notification: Display a system use notification message with privacy and security notices consistent with applicable CUI rules before granting access to the system.,"CFG-02, SEA-18","esx-9.etc-issue, esx-9.login-message, networks-9.login-message, nsx-9.login-message, operations-9.login-message, vcenter-9.etc-issue, vcenter-9.login-message, vcf-9.secure-baseline"
03.01.10.a,Prevent access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended].,"CFG-02, IAC-24","vcf-9.secure-baseline, vm-9.vmrc-lock"
03.01.10.b,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,"CFG-02, IAC-24","vcf-9.secure-baseline, vm-9.vmrc-lock"
03.01.10.c,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",CFG-02,vcf-9.secure-baseline
03.01.11,Session Termination: Terminate a user session automatically after [Assignment: organization-defined conditions or trigger events requiring session disconnect].,"CFG-02, IAC-25","esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout, vcf-9.secure-baseline"
03.01.12.a,"Establish usage restrictions, configuration requirements, and connection requirements for each type of allowable remote system access.","CFG-02, NET-03, NET-14","nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, pnr-9.ssh, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcf-9.secure-baseline, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
03.01.12.b,Authorize each type of remote system access prior to establishing such connections.,NET-14,pnr-9.ssh
03.01.12.c,Route remote access to the system through authorized and managed access control points.,NET-14,pnr-9.ssh
03.01.12.d,Authorize the remote execution of privileged commands and remote access to security-relevant information.,"NET-14, NET-14.4","esx-9.ssh, pnr-9.ssh, vcenter-9.ssh"
03.01.16.a,"Establish usage restrictions, configuration requirements, and connection requirements for each type of wireless access to the system.",CFG-02,vcf-9.secure-baseline
03.01.18.a,"Establish usage restrictions, configuration requirements, and connection requirements for mobile devices.",CFG-02,vcf-9.secure-baseline
