Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
03.05.05.d,Manage individual identifiers by uniquely identifying each individual as [Assignment: organization-defined characteristic identifying individual status].,"IAC-01.2, IAC-02","vcenter-9.administration-sso-groups, vcf-9.mfa"
03.05.07.a,"Maintain a list of commonly-used, expected, or compromised passwords, and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised.","IAC-01.2, IAC-10, IAC-10.4","automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcenter-9.vpxuser-length"
03.05.07.b,"Verify that passwords are not found on the list of commonly used, expected, or compromised passwords when users create or update passwords.","IAC-01.2, IAC-10, IAC-10.4","automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcenter-9.vpxuser-length"
03.05.07.c,Transmit passwords only over cryptographically protected channels.,"IAC-01.2, IAC-10","automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups"
03.05.07.d,Store passwords in a cryptographically protected form.,"CFG-02, IAC-01.2, IAC-10","automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcf-9.secure-baseline"
03.05.07.e,Select a new password upon first use after account recovery.,"CFG-02, IAC-01.2, IAC-10, IAC-10.1, IAC-10.8","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.ad-admin-group-name, esx-9.hardware-management-security, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.api-admin, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.secure-baseline"
03.05.07.f,Enforce the following composition and complexity rules for passwords: [Assignment: organization-defined composition and complexity rules].,"CFG-02, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.secure-baseline"
03.05.12.a,"Verify the identity of the individual, group, role, service, or device receiving the authenticator as part of the initial authenticator distribution.",IAC-10,"automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable"
03.05.12.b,Establish initial authenticator content for any authenticators issued by the organization.,"IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
03.05.12.c,"Establish and implement administrative procedures for initial authenticator distribution; for lost, compromised, or damaged authenticators; and for revoking authenticators.","IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
03.05.12.d,Change default authenticators at first use.,"CFG-02, IAC-01.2, IAC-10, IAC-10.1, IAC-10.8","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.ad-admin-group-name, esx-9.hardware-management-security, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.api-admin, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.secure-baseline"
03.05.12.e,Change or refresh authenticators [Assignment: organization-defined frequency] or when the following events occur: [Assignment: organization-defined events].,"IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
03.05.12.f,Protect authenticator content from unauthorized disclosure and modification.,"IAC-01.2, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.administration-sso-groups, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
03.06.05.d,Protect the incident response plan from unauthorized disclosure.,IAC-20.1,vcenter-9.content-library-authentication
03.07.05.a,Approve and monitor nonlocal maintenance and diagnostic activities.,IAC-01.2,vcenter-9.administration-sso-groups
03.07.05.c,Terminate session and network connections when nonlocal maintenance is completed.,IAC-25,"esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout"
03.08.07.a,Restrict or prohibit the use of [Assignment: organization-defined types of system media].,"CFG-02, DCH-12","esx-9.hardware-boot-order, vcf-9.secure-baseline"
03.08.09.a,Protect the confidentiality of backup information.,"BCD-11, BCD-11.4","nsx-9.backup, vcenter-9.native-key-provider-backup"
03.08.09.b,Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI at backup storage locations.,BCD-11.4,vcenter-9.native-key-provider-backup
03.09.02.a.01,Disable system access within [Assignment: organization-defined time period].,IAC-07,operations-9.non-imported-vidm
03.09.02.a.02,Terminate or revoke authenticators and credentials associated with the individual.,IAC-07,operations-9.non-imported-vidm
03.09.02.b.02,Modify access authorization to correspond with any changes in operational need.,IAC-20,"esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm"
03.10.01.a,"Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides.",IAC-20.1,vcenter-9.content-library-authentication
03.10.01.c,Review the facility access list [Assignment: organization-defined frequency].,IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
03.10.01.d,Remove individuals from the facility access list when access is no longer required.,IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
03.11.01.a,"Assess the risk (including supply chain risk) of unauthorized disclosure resulting from the processing, storage, or transmission of CUI.",TPM-03,vcenter-9.administration-client-plugins
03.11.02.b,Remediate system vulnerabilities within [Assignment: organization-defined response times].,"VPM-04, VPM-05","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
03.12.02.a.02,To reduce or eliminate known system vulnerabilities.,VPM-05,"esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
03.13.01.a,Monitor and control communications at external managed interfaces to the system and key internal managed interfaces within the system.,"NET-03, NET-04, NET-04.1","esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
03.13.01.b,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,"NET-03, NET-06","esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
03.13.01.c,Connect to external systems only through managed interfaces that consist of boundary protection devices arranged in accordance with an organizational security architecture.,"NET-03, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
03.13.04,Information in Shared System Resources: Prevent unauthorized and unintended information transfer via shared system resources.,SEA-05,"esx-9.memeagerzero, esx-9.transparent-page-sharing, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.isolation-tools-dnd-deactivate, vm-9.transparentpagesharing-inter-vm-enabled"
03.13.06,"Network Communications – Deny by Default – Allow by Exception: Deny network communications traffic by default, and allow network communications traffic by exception.",NET-04.1,"esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, operations-9.firewall-hardening, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vsan-9.file-services-access-control-nfs"
03.13.08,Transmission and Storage Confidentiality: Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI during transmission and while in storage.,"CRY-01, CRY-01.1, CRY-03, CRY-05","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.memory-tiering-encryption, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.tpm-configuration, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-rest, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
03.13.10,"Cryptographic Key Establishment and Management: Establish and manage cryptographic keys in the system in accordance with the following key management requirements: [Assignment: organization-defined requirements for key generation, distribution, storage, access, and destruction].","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
03.13.11,Cryptographic Protection: Implement the following types of cryptography to protect the confidentiality of CUI: [Assignment: organization-defined types of cryptography].,"CRY-01, CRY-01.5","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.tls-ciphers, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, vcenter-9.snmp3, vcenter-9.tls-ciphers"
03.13.12.b,Provide an explicit indication of use to users physically present at the devices.,CFG-02,vcf-9.secure-baseline
03.13.15,Session Authenticity: Protect the authenticity of communications sessions.,NET-09,"nsx-9.bgp-encryption, nsx-9.ospf-encryption"
03.14.01.a,"Identify, report, and correct system flaws.","VPM-04, VPM-05","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
03.14.01.b,Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates.,"VPM-04, VPM-05","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
03.14.06.a.01,Attacks and indicators of potential attacks.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
03.14.06.b,Identify unauthorized use of the system.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
03.14.06.c,Monitor inbound and outbound communications traffic to detect unusual or unauthorized activities or conditions.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
03.16.02.a,"Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer.",TDA-17,"esx-9.supported, vcenter-9.supported"
03.16.03.a,"Require the providers of external system services used for the processing, storage, or transmission of CUI to comply with the following security requirements: [Assignment: organization-defined security requirements].",TPM-04,vcenter-9.administration-client-plugins
03.16.03.c,"Implement processes, methods, and techniques to monitor security requirement compliance by external service providers on an ongoing basis.",TPM-04,vcenter-9.administration-client-plugins
03.17.01.a,"Develop a plan for managing supply chain risks associated with the research and development, design, manufacturing, acquisition, delivery, integration, operations, maintenance, and disposal of the system, system components, or system services.",TPM-03,vcenter-9.administration-client-plugins
03.17.02,"Acquisition Strategies, Tools, and Methods: Develop and implement acquisition strategies, contract tools, and procurement methods to identify, protect against, and mitigate supply chain risks.",TPM-04,vcenter-9.administration-client-plugins
03.17.03.a,Establish a process for identifying and addressing weaknesses or deficiencies in the supply chain elements and processes.,"TPM-03, TPM-04",vcenter-9.administration-client-plugins
03.17.03.b,"Enforce the following security requirements to protect against supply chain risks to the system, system components, or system services and to limit the harm or consequences from supply chain-related events: [Assignment: organization-defined security requirements].","TPM-03, TPM-04",vcenter-9.administration-client-plugins
