Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
12.1,High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
17.1(e),"Technical specifications, including standards, to be applied and, where the relevant harmonised standards are not applied in full or do not cover all of the relevant requirements set out in Section 2, the means to be used to ensure that the high-risk AI system complies with those requirements.",CFG-02,vcf-9.secure-baseline
19.1,"Providers of high-risk AI systems shall keep the logs referred to in Article 12(1), automatically generated by their high-risk AI systems, to the extent such logs are under their control. Without prejudice to applicable Union or national law, the logs shall be kept for a period appropriate to the intended purpose of the high-risk AI system, of at least six months, unless provided otherwise in the applicable Union or national law, in particular in Union law on the protection of personal data.",MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
19.2,"Providers that are financial institutions subject to requirements regarding their internal governance, arrangements or processes under Union financial services law shall maintain the logs automatically generated by their high-risk AI systems as part of the documentation kept under the relevant financial services law.",MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
