Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
8.2.4,"8.2.4 Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are managed as follows:
 • Authorized with the appropriate approval.
 • Implemented with only the privileges specified on the documented approval.
 Applicability Notes
 This requirement applies to all user accounts, including employees, contractors, consultants, temporary workers and third-party vendors.","IAC-07, IAC-10","automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, operations-9.non-imported-vidm, sddc-9.basic-auth-disable"
8.2.6,8.2.6 Inactive user accounts are removed or disabled within 90 days of inactivity.,IAC-15.3,fleet-9.jit-inactivity
8.2.7,"8.2.7 Accounts used by third parties to access, support, or maintain system components via remote access are managed as follows:
 • Enabled only during the time period needed and disabled when not in use.
 • Use is monitored for unexpected activity.",NET-14,pnr-9.ssh
8.2.8,"8.2.8 If a user session has been idle for more than 15 minutes, the user is required to re-authenticate to re-activate the terminal or session.
 Applicability Notes
 This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.
 This requirement is not meant to prevent legitimate activities from being performed while the console/PC is unattended.","IAC-24, IAC-25","esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout, vm-9.vmrc-lock"
8.3,8.3 Strong authentication for users and administrators is established and managed.,"IAC-02, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.mfa"
8.3.1,"8.3.1 All user access to system components for users and administrators is authenticated via at least one of the following authentication factors:
 • Something you know, such as a password or passphrase.
 • Something you have, such as a token device or smart card.
 • Something you are, such as a biometric element.
 Applicability Notes
 This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.
 This requirement does not supersede multi-factor authentication (MFA) requirements but applies to those in-scope systems not otherwise subject to MFA requirements.
 A digital certificate is a valid option for “something you have” if it is unique for a particular user.","IAC-10, IAC-10.1, IAC-10.2","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.log-forwarding-tls-ciphers, esx-9.log-forwarding-tls-x509, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.certificates-validation, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
8.3.2,8.3.2 Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,"CFG-02, CRY-01, CRY-03, CRY-05","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.memory-tiering-encryption, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.tpm-configuration, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vcf-9.secure-baseline, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-rest, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
8.3.3,8.3.3 User identity is verified before modifying any authentication factor.,"IAC-02, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.mfa"
8.3.4,"8.3.4 Invalid authentication attempts are limited by: 
 • Locking out the user ID after not more than 10 attempts.
 • Setting the lockout duration to a minimum of 30 minutes or until the user’s identity is confirmed. 
 Applicability Notes
 This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.",IAC-22,"esx-9.account-lockout-duration, esx-9.account-lockout-max-attempts, fleet-9.password-policy, nsx-9.account-lockout-max-attempts, operations-9.account-lockout, vcenter-9.account-lockout-duration, vcenter-9.account-lockout-max-attempts, vcenter-9.account-lockout-reset"
8.3.5,"8.3.5 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: 
 • Set to a unique value for first-time use and upon reset.
 • Forced to be changed immediately after the first use.","IAC-07, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.non-imported-vidm, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
8.3.6,"8.3.6 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: 
 • A minimum length of 12 characters (or IF the system does not support 12 characters, a minimum length of eight characters).
 • Contain both numeric and alphabetic characters.
 Applicability Notes
 This requirement is not intended to apply to: 
 • User accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.
 • Application or system accounts, which are governed by requirements in section 8.6.
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.
 Until 31 March 2025, passwords must be a minimum length of seven characters in accordance with PCI DSS v3.2.1 Requirement 8.2.3.",IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
8.3.7,"8.3.7 Individuals are not allowed to submit a new password/passphrase that is the same as any of the last four passwords/passphrases used.
 Applicability Notes
 This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.","IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
8.3.9,"8.3.9 If passwords/passphrases are used as the only authentication factor for user access (i.e., in any single-factor authentication implementation) then either:
 • Passwords/passphrases are changed at least once every 90 days, 
 OR
 • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly. 
 Applicability Notes
 This requirement does not apply to in-scope system components where MFA is used.
 This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.
 This requirement does not apply to service providers’ customer accounts but does apply to accounts for service provider personnel.","IAC-02, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.mfa"
8.3.10.1,"8.3.10.1 Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access (i.e., in any single-factor authentication implementation) then either:
 • Passwords/passphrases are changed at least once every 90 days, 
 OR
 • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.
 Applicability Notes
 This requirement applies only when the entity being assessed is a service provider.
 This requirement does not apply to accounts of consumer users accessing their own payment card information.
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.
 Until this requirement is effective on 31 March 2025, service providers may meet either Requirement 8.3.10 or 8.3.10.1.","IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
8.3.11,"8.3.11 Where authentication factors such as physical or logical security tokens, smart cards, or certificates are used: 
 • Factors are assigned to an individual user and not shared among multiple users. 
 • Physical and/or logical controls ensure only the intended user can use that factor to gain access.","IAC-10, IAC-10.2","automation-9.oidc-settings, automation-9.timeouts, esx-9.log-forwarding-tls-ciphers, esx-9.log-forwarding-tls-x509, fleet-9.access-token, fleet-9.api-token, operations-9.certificates-validation, sddc-9.basic-auth-disable"
8.4.1,"8.4.1 MFA is implemented for all non-console access into the CDE for personnel with administrative access. 
 Applicability Notes
 The requirement for MFA for non-console administrative access applies to all personnel with elevated or increased privileges accessing the CDE via a non-console connection—that is, via logical access occurring over a network interface rather than via a direct, physical connection.",IAC-06.1,vcf-9.mfa
8.4.2,"8.4.2 MFA is implemented for all non-console access into the CDE.
 Applicability Notes
 This requirement does not apply to: 
 • Application or system accounts performing automated functions.
 • User accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction.
 • User accounts that are only authenticated with phishing-resistant authentication factors.
 MFA is required for both types of access specified in Requirements 8.4.2 and 8.4.3. Therefore, applying MFA to one type of access does not replace the need to apply another instance of MFA to the other type of access. If an individual first connects to the entity’s network via remote access, and then later initiates a connection into the CDE from within the network, per this requirement the individual would authenticate using MFA twice, once when connecting via remote access to the entity’s network and once when connecting from the entity’s network into the CDE.
 The MFA requirements apply for all types of system components, including cloud, hosted systems, and on-premises applications, network security devices, workstations, servers, and endpoints, and includes access directly to an entity’s networks or systems as well as web-based access to an application or function. 
 MFA for access into the CDE can be implemented at the network or system/application level; it does not have to be applied at both levels. For example, if MFA is used when a user connects to the CDE network, it does not have to be used when the user logs into each system or application within the CDE.
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",IAC-06.1,vcf-9.mfa
