Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
SOV-1,"Strategic Sovereignty: Strategic sovereignty captures the degree to which the services of a cloud provider (or technology actor) are anchored within the European Union legal, financial, and industrial ecosystem. It assesses ownership stability, governance influence, and alignment with EU strategic priorities. Contributing factors: Ensuring that bodies having decisive authority over your services are located within EU jurisdiction; Evaluating the assurances against change of control; Degree to which the provider relies on financing coming from EU sources; Extent of investment, jobs, and value creation within EU; Involvement in EU initiatives, Consistency with digital, green, and industrial sovereignty objectives defined at EU level; Ability to sustain secure operations against requests to cease or suspend the service, or if vendor support is withdrawn or disrupted.",TPM-04,vcenter-9.administration-client-plugins
SOV-3,"Data & AI Sovereignty: Data & AI sovereignty focuses on the protection, control, and independence of data assets and AI services within the EU. It addresses how data is secured, where it is processed, and the degree of autonomy customers retain over AI capabilities. Contributing factors: Ensuring that only the customer, not the provider, has effective control over cryptographic access to their data; Visibility into when, where, and by whom data is accessed, including auditability of AI model usage, mechanisms guaranteeing irreversible removal of data, with verifiable evidence; Strict confinement of storage and processing to European jurisdictions, with no fallback to third countries; Extent to which AI models and data pipelines are developed, trained, hosted, and governed under EU control, minimizing dependency on non-EU technology stacks.","CRY-01, CRY-09, MON-02.7","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, nsx-9.load-balancer-fips, vcenter-9.events-remote-logging, vcenter-9.snmp3, vsan-9.rekey-interval"
SOV-5,"Supply Chain Sovereignty: Supply chain sovereignty evaluates the geographic origin, transparency, and resilience of the technology supply chain, focusing on the extent to which critical components and processes remain under EU control or exposed to non-EU dependencies. Contributing factors: Geographic source of key physical parts, manufacturing location - countries where hardware is manufactured or assembled; Jurisdiction and provenance of embedded code controlling hardware, firmware; Origin of Software: where and by whom software is architected and programmed, location and jurisdiction governing software packaging, distribution, and updates; Degree of reliance on non-EU vendors, facilities, or proprietary technologies; Visibility into the entire supplier and sub-supplier chain, including audit rights.",TPM-03,vcenter-9.administration-client-plugins
SOV-7,"Security & Compliance Sovereignty: Security & Compliance sovereignty measures the extent to which security operations, compliance obligations, and resilience measures are controlled within the EU, ensuring independence from foreign jurisdictions and long-term operational assurance. Contributing factors: Attainment of EU and internationally recognized certifications (e.g., ISO, ENISA schemes); Adherence to GDPR, NIS2, DORA, and other EU frameworks; Security Operations Centres and response teams operating exclusively under EU jurisdiction, control over security monitoring/logging - customer or EU authority ability to oversee logs, alerts, and monitoring functions directly; Transparent, timely, and EU-compliant reporting of breaches or vulnerabilities, maintenance Autonomy - ability to develop, test, and apply security patches independently of non-EU vendors; Capacity for EU entities to perform independent security and compliance audits with full access.",VPM-05,"esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
