Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
IAC-16.2,Mechanisms exist to separate privileged accounts between infrastructure environments to reduce the risk of a compromise in one infrastructure environment from laterally affecting other infrastructure environments.,IAC-16.2,"esx-9.hardware-management-authentication, vcenter-9.administration-sso-groups"
IAC-17,"Mechanisms exist to periodically-review the privileges assigned to individuals and service accounts to validate the need for such privileges and reassign or remove unnecessary privileges, as necessary.",IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
IAC-20,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""",IAC-20,"esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm"
IAC-20.1,Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access.,IAC-20.1,vcenter-9.content-library-authentication
IAC-21,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.",IAC-21,"esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
IAC-22,Mechanisms exist to enforce a limit for consecutive invalid login attempts by a user during an organization-defined time period and automatically locks the account when the maximum number of unsuccessful attempts is exceeded.,IAC-22,"esx-9.account-lockout-duration, esx-9.account-lockout-max-attempts, fleet-9.password-policy, nsx-9.account-lockout-max-attempts, operations-9.account-lockout, vcenter-9.account-lockout-duration, vcenter-9.account-lockout-max-attempts, vcenter-9.account-lockout-reset"
IAC-23,Mechanisms exist to limit the number of concurrent sessions for each system account.,IAC-23,"operations-9.concurrent-sessions, vm-9.limit-console-connections"
IAC-24,"Mechanisms exist to initiate a session lock after an organization-defined time period of inactivity, or upon receiving a request from a user and retain the session lock until the user reestablishes access using established identification and authentication methods.",IAC-24,vm-9.vmrc-lock
IAC-25,"Automated mechanisms exist to log out users, both locally on the network and for remote sessions, at the end of the session or after an organization-defined period of inactivity.",IAC-25,"esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout"
IAC-30,Mechanisms exist to enforce Mutual Authentication (MA) where both sides of a communications channel verify the identity of the other party through certificate exchange.,IAC-30,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
IRO-08,"Mechanisms exist to perform digital forensics and maintain the integrity of the chain of custody, in accordance with applicable laws, regulations and industry-recognized secure practices.",IRO-08,esx-9.forensic-snapshots
MON-01.4,"Mechanisms exist to generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection and supply chain activities to achieve integrated situational awareness.",MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
MON-02,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.",MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
